code,name,source,confidence,logo_url,origin_url,note
OU,Trường Đại học Mở Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/OU.png,https://upload.wikimedia.org/wikipedia/vi/b/b2/Logo_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_M%E1%BB%9F_TPHCM.png,
TDTU,Trường Đại học Tôn Đức Thắng,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/TDTU.png,https://upload.wikimedia.org/wikipedia/vi/thumb/1/1b/T%C4%90T_logo.png/250px-T%C4%90T_logo.png,
VLU,Trường Đại học Văn Lang,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/VLU.svg,https://www.vlu.edu.vn/_next/static/media/logo.8e5334db.svg,
AEP,Học viện Chính sách và Phát triển,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/AEP.jpg,https://tuyensinh.apd.edu.vn/wp-content/uploads/2023/12/logo-apd-300x300.jpg,
ANH,Học viện An ninh Nhân dân,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/ANH.png,https://hvannd.edu.vn/storage/logo/main-logo.png,
BTU,Trường Đại học Bình Dương,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/BTU.png,https://bdu.edu.vn/uploads/logo-bdu-2024.png,
BVH,Học viện Công nghệ Bưu chính Viễn thông,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/BVH.png,https://ptit.edu.vn/wp-content/uploads/2024/05/logo-white-circle.png,
CSH,Học viện Cảnh sát Nhân dân,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/CSH.webp,https://cdn.hvcsnd.edu.vn/uploads/2026/06/17/9/logo-tb-1781660700.jpg?w=400&h=240&q=75&f=6&s=zqyg4cs0wmg,
CTS,Trường Đại học Cần Thơ,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/CTS.png,https://www.ctu.edu.vn/images/upload/logo.png,
DAG,Trường Đại học An Giang - Đại học Quốc gia Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DAG.png,https://career.gpo.vn/uploads/images/10202010/logocarreer.png,
DBH,Trường Đại học Bách khoa - Đại học Quốc gia Thành phố Hồ Chí Minh,none,,,,
DBS,Trường Đại học Kinh tế Thành phố Hồ Chí Minh,none,,,,
DCN,Trường Đại học Công nghiệp Hà Nội,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DCN.png,https://vi.wikipedia.org/static/images/icons/wikipedia.png,
DCT,Trường Đại học Công nghiệp Thực phẩm Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DCT.jpg,https://congdankhuyenhoc.qltns.mediacdn.vn/zoom/600_315/449484899827462144/2023/7/1/truong-dh-cong-nghiep-thuc-pham-tphcm-diem-chuan-hoc-phi-nganh-dao-tao-thong-tin-tuyen-sinh-1688192837328964719753-229-0-1067-1600-crop-16881929172761971907084.jpg,
DDL,Trường Đại học Điện lực,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DDL.svg,https://epu.edu.vn/ContentV2/images/logo-footer1.svg,
DDT,Trường Đại học Duy Tân,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DDT.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Logo_Duy_Tan_University.png/250px-Logo_Duy_Tan_University.png,
DED,Trường Đại học Sư phạm - Đại học Đà Nẵng,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DED.png,https://upload.wikimedia.org/wikipedia/vi/thumb/2/28/Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_S%C6%B0_ph%E1%BA%A1m%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_%C4%90%C3%A0_N%E1%BA%B5ng.svg/1280px-Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_S%C6%B0_ph%E1%BA%A1m%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_%C4%90%C3%A0_N%E1%BA%B5ng.svg.png,
DFL,Trường Đại học Ngoại ngữ - Đại học Đà Nẵng,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DFL.png,https://ufl.udn.vn/img/uploads/DHNN/Home/gioithieu/dhnn_logo_2015.png,
DGD,Trường Đại học Công nghiệp Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DGD.jpg,https://vnur.vn/wp-content/uploads/2023/01/11.Cong-nghiep-TP.HCM_.jpg,
DHA,Trường Đại học Luật - Đại học Huế,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DHA.png,https://hul.edu.vn/bundles/web/assets/images/logo.png,
DHF,Trường Đại học Ngoại ngữ - Đại học Huế,none,,,,
DHK,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DHK.png,https://upload.wikimedia.org/wikipedia/vi/thumb/c/ca/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Khoa_h%E1%BB%8Dc_T%E1%BB%B1_nhi%C3%AAn%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Qu%E1%BB%91c_gia_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.svg/1280px-Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Khoa_h%E1%BB%8Dc_T%E1%BB%B1_nhi%C3%AAn%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Qu%E1%BB%91c_gia_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.svg.png,
DHP,Trường Đại học Hải Phòng,none,,,,
DHS,Trường Đại học Sư phạm - Đại học Huế,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DHS.png,https://tuyensinh.dhsphue.edu.vn/img/logo2.png,
DKH,Trường Đại học Dược Hà Nội,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DKH.png,https://www.hup.edu.vn/data/orgs/2/2/1/images/logo-vi.png,
DLA,Trường Đại học Kinh tế Công nghiệp Long An,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DLA.png,https://daihoclongan.edu.vn/templates/dla122020/img/logo1.png,
DNV,Trường Đại học Nội vụ Hà Nội,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DNV.jpg,https://tuyen-sinh.vn/wp-content/uploads/2024/11/Logo_noivu.jpg,
DPH,Trường Đại học Phạm Văn Đồng,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DPH.jpg,https://career.gpo.vn/uploads/images/13262310/logo1809x996.jpg,
DPT,Trường Đại học Phan Thiết,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DPT.png,https://career.gpo.vn/uploads/images/13262310/tai-xuong-9-.png,
DPX,Trường Đại học Sư phạm Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DPX.png,https://upload.wikimedia.org/wikipedia/vi/thumb/9/9e/Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_S%C6%B0_ph%E1%BA%A1m_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.svg/1280px-Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_S%C6%B0_ph%E1%BA%A1m_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.svg.png,
DQC,Trường Đại học Quảng Bình,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DQC.png,https://qbu.edu.vn/wp-content/uploads/2018/08/QBU_logo-5.png,
